fold: 0
scores: [0.26596859097480774, 0.9081143140792847]
scores with original testdata: [2.5387377738952637, 0.65234375]
f1_scores:               precision    recall  f1-score   support

           0      0.896     0.798     0.844       875
           1      0.972     0.968     0.970       875
           2      0.914     0.958     0.935       875
           3      0.838     0.843     0.841       875
           4      0.855     0.797     0.825       875
           5      0.785     0.894     0.836       875
           6      0.958     0.962     0.960       875
           7      0.939     0.895     0.916       875
           8      0.958     0.982     0.970       875
           9      0.978     0.985     0.982       875

    accuracy                          0.908      8750
   macro avg      0.909     0.908     0.908      8750
weighted avg      0.909     0.908     0.908      8750

f1_scores with original testdata:               precision    recall  f1-score   support

           0      0.621     0.633     0.627       843
           1      0.794     0.743     0.768       269
           2      0.812     0.694     0.749       180
           3      0.553     0.494     0.522       652
           4      0.601     0.691     0.643       766
           5      0.503     0.837     0.628       202
           6      0.948     0.540     0.688       502
           7      0.754     0.536     0.627       235
           8      0.839     0.918     0.877       306
           9      0.471     0.816     0.597       141

    accuracy                          0.652      4096
   macro avg      0.690     0.690     0.673      4096
weighted avg      0.679     0.652     0.653      4096

