fold: 3
scores: [1.4742488861083984, 0.45657142996788025]
scores with original testdata: [1.6232295036315918, 0.374755859375]
f1_scores:               precision    recall  f1-score   support

           0      0.346     0.256     0.294       875
           1      0.415     0.672     0.513       875
           2      0.448     0.609     0.516       875
           3      0.442     0.344     0.387       875
           4      0.320     0.213     0.255       875
           5      0.428     0.562     0.486       875
           6      0.628     0.733     0.676       875
           7      0.373     0.190     0.252       875
           8      0.467     0.619     0.532       875
           9      0.706     0.368     0.484       875

    accuracy                          0.457      8750
   macro avg      0.457     0.457     0.440      8750
weighted avg      0.457     0.457     0.440      8750

f1_scores with original testdata:               precision    recall  f1-score   support

           0      0.383     0.297     0.334       843
           1      0.239     0.520     0.328       269
           2      0.438     0.622     0.514       180
           3      0.448     0.374     0.408       652
           4      0.283     0.192     0.229       766
           5      0.214     0.441     0.288       202
           6      0.843     0.546     0.663       502
           7      0.096     0.055     0.070       235
           8      0.525     0.516     0.521       306
           9      0.298     0.766     0.429       141

    accuracy                          0.375      4096
   macro avg      0.377     0.433     0.378      4096
weighted avg      0.407     0.375     0.374      4096

