fold: 2
scores: [1.5153244733810425, 0.45268571376800537]
scores with original testdata: [1.5704495906829834, 0.411865234375]
f1_scores:               precision    recall  f1-score   support

           0      0.312     0.326     0.319       875
           1      0.513     0.546     0.529       875
           2      0.476     0.383     0.424       875
           3      0.439     0.361     0.396       875
           4      0.428     0.198     0.271       875
           5      0.456     0.609     0.522       875
           6      0.480     0.822     0.606       875
           7      0.357     0.261     0.301       875
           8      0.464     0.605     0.525       875
           9      0.574     0.417     0.483       875

    accuracy                          0.453      8750
   macro avg      0.450     0.453     0.438      8750
weighted avg      0.450     0.453     0.438      8750

f1_scores with original testdata:               precision    recall  f1-score   support

           0      0.445     0.515     0.477       843
           1      0.285     0.375     0.324       269
           2      0.531     0.378     0.442       180
           3      0.542     0.379     0.446       652
           4      0.306     0.163     0.213       766
           5      0.195     0.475     0.277       202
           6      0.670     0.631     0.650       502
           7      0.161     0.145     0.152       235
           8      0.570     0.585     0.577       306
           9      0.304     0.610     0.406       141

    accuracy                          0.412      4096
   macro avg      0.401     0.426     0.396      4096
weighted avg      0.431     0.412     0.409      4096

