fold: 1
scores: [0.45201799273490906, 0.8370285630226135]
scores with original testdata: [1.3995118141174316, 0.6875]
f1_scores:               precision    recall  f1-score   support

           0      0.805     0.637     0.711       875
           1      0.949     0.906     0.927       875
           2      0.838     0.893     0.864       875
           3      0.742     0.761     0.752       875
           4      0.788     0.679     0.729       875
           5      0.751     0.816     0.782       875
           6      0.831     0.958     0.890       875
           7      0.810     0.823     0.816       875
           8      0.935     0.943     0.939       875
           9      0.921     0.955     0.938       875

    accuracy                          0.837      8750
   macro avg      0.837     0.837     0.835      8750
weighted avg      0.837     0.837     0.835      8750

f1_scores with original testdata:               precision    recall  f1-score   support

           0      0.751     0.586     0.658       843
           1      0.595     0.673     0.632       269
           2      0.801     0.828     0.814       180
           3      0.667     0.681     0.674       652
           4      0.693     0.683     0.688       766
           5      0.414     0.782     0.541       202
           6      0.936     0.675     0.785       502
           7      0.673     0.579     0.622       235
           8      0.908     0.899     0.903       306
           9      0.421     0.830     0.558       141

    accuracy                          0.688      4096
   macro avg      0.686     0.722     0.688      4096
weighted avg      0.721     0.688     0.694      4096

