fold: 3
scores: [0.28935086727142334, 0.8999999761581421]
scores with original testdata: [1.8976818323135376, 0.6884765625]
f1_scores:               precision    recall  f1-score   support

           0      0.870     0.798     0.832       875
           1      0.948     0.976     0.962       875
           2      0.893     0.959     0.925       875
           3      0.835     0.851     0.843       875
           4      0.884     0.734     0.802       875
           5      0.785     0.874     0.827       875
           6      0.947     0.943     0.945       875
           7      0.921     0.909     0.915       875
           8      0.948     0.974     0.961       875
           9      0.975     0.983     0.979       875

    accuracy                          0.900      8750
   macro avg      0.901     0.900     0.899      8750
weighted avg      0.901     0.900     0.899      8750

f1_scores with original testdata:               precision    recall  f1-score   support

           0      0.682     0.689     0.686       843
           1      0.648     0.747     0.694       269
           2      0.775     0.917     0.840       180
           3      0.630     0.538     0.581       652
           4      0.658     0.693     0.675       766
           5      0.544     0.832     0.658       202
           6      0.976     0.556     0.708       502
           7      0.876     0.540     0.668       235
           8      0.850     0.944     0.895       306
           9      0.462     0.908     0.612       141

    accuracy                          0.688      4096
   macro avg      0.710     0.736     0.702      4096
weighted avg      0.716     0.688     0.688      4096

