fold: 3
scores: [0.1485627442598343, 0.9574857354164124]
scores with original testdata: [2.180588960647583, 0.721435546875]
f1_scores:               precision    recall  f1-score   support

           0      0.969     0.906     0.937       875
           1      0.994     0.959     0.976       875
           2      0.935     0.989     0.961       875
           3      0.922     0.941     0.931       875
           4      0.954     0.910     0.932       875
           5      0.912     0.958     0.934       875
           6      0.965     0.986     0.976       875
           7      0.956     0.949     0.952       875
           8      0.978     0.984     0.981       875
           9      0.994     0.994     0.994       875

    accuracy                          0.957      8750
   macro avg      0.958     0.957     0.957      8750
weighted avg      0.958     0.957     0.957      8750

f1_scores with original testdata:               precision    recall  f1-score   support

           0      0.692     0.679     0.685       843
           1      0.798     0.717     0.755       269
           2      0.876     0.828     0.851       180
           3      0.631     0.604     0.618       652
           4      0.662     0.779     0.716       766
           5      0.600     0.817     0.692       202
           6      0.970     0.649     0.778       502
           7      0.751     0.630     0.685       235
           8      0.936     0.954     0.945       306
           9      0.561     0.844     0.674       141

    accuracy                          0.721      4096
   macro avg      0.748     0.750     0.740      4096
weighted avg      0.739     0.721     0.723      4096

