fold: 2
scores: [0.28594639897346497, 0.8947428464889526]
scores with original testdata: [1.8263976573944092, 0.688232421875]
f1_scores:               precision    recall  f1-score   support

           0      0.900     0.760     0.824       875
           1      0.962     0.954     0.958       875
           2      0.910     0.946     0.928       875
           3      0.807     0.829     0.818       875
           4      0.849     0.754     0.799       875
           5      0.779     0.901     0.836       875
           6      0.918     0.974     0.945       875
           7      0.912     0.885     0.898       875
           8      0.952     0.952     0.952       875
           9      0.971     0.993     0.982       875

    accuracy                          0.895      8750
   macro avg      0.896     0.895     0.894      8750
weighted avg      0.896     0.895     0.894      8750

f1_scores with original testdata:               precision    recall  f1-score   support

           0      0.636     0.664     0.650       843
           1      0.741     0.725     0.733       269
           2      0.754     0.833     0.792       180
           3      0.664     0.598     0.630       652
           4      0.689     0.708     0.698       766
           5      0.537     0.861     0.662       202
           6      0.929     0.578     0.713       502
           7      0.730     0.540     0.621       235
           8      0.869     0.912     0.890       306
           9      0.452     0.794     0.576       141

    accuracy                          0.688      4096
   macro avg      0.700     0.721     0.696      4096
weighted avg      0.710     0.688     0.689      4096

