fold: 1
scores: [0.27663299441337585, 0.9039999842643738]
scores with original testdata: [1.9267680644989014, 0.65869140625]
f1_scores:               precision    recall  f1-score   support

           0      0.894     0.783     0.835       875
           1      0.932     0.978     0.955       875
           2      0.928     0.950     0.939       875
           3      0.843     0.830     0.836       875
           4      0.837     0.798     0.817       875
           5      0.827     0.902     0.863       875
           6      0.927     0.957     0.942       875
           7      0.925     0.891     0.908       875
           8      0.969     0.971     0.970       875
           9      0.954     0.981     0.967       875

    accuracy                          0.904      8750
   macro avg      0.904     0.904     0.903      8750
weighted avg      0.904     0.904     0.903      8750

f1_scores with original testdata:               precision    recall  f1-score   support

           0      0.628     0.668     0.647       843
           1      0.694     0.766     0.728       269
           2      0.723     0.667     0.694       180
           3      0.573     0.540     0.556       652
           4      0.632     0.662     0.647       766
           5      0.553     0.797     0.653       202
           6      0.921     0.556     0.693       502
           7      0.739     0.494     0.592       235
           8      0.920     0.866     0.892       306
           9      0.459     0.915     0.611       141

    accuracy                          0.659      4096
   macro avg      0.684     0.693     0.671      4096
weighted avg      0.683     0.659     0.660      4096

