fold: 3
scores: [0.18673427402973175, 0.9364571571350098]
scores with original testdata: [2.0189244747161865, 0.70361328125]
f1_scores:               precision    recall  f1-score   support

           0      0.880     0.903     0.891       875
           1      0.960     0.993     0.976       875
           2      0.947     0.968     0.958       875
           3      0.906     0.890     0.898       875
           4      0.927     0.853     0.888       875
           5      0.876     0.921     0.898       875
           6      0.970     0.949     0.959       875
           7      0.938     0.937     0.938       875
           8      0.981     0.957     0.969       875
           9      0.983     0.994     0.989       875

    accuracy                          0.936      8750
   macro avg      0.937     0.936     0.936      8750
weighted avg      0.937     0.936     0.936      8750

f1_scores with original testdata:               precision    recall  f1-score   support

           0      0.686     0.714     0.700       843
           1      0.720     0.717     0.719       269
           2      0.915     0.833     0.872       180
           3      0.646     0.604     0.624       652
           4      0.663     0.740     0.700       766
           5      0.565     0.772     0.653       202
           6      0.986     0.566     0.719       502
           7      0.651     0.587     0.617       235
           8      0.897     0.908     0.903       306
           9      0.508     0.851     0.637       141

    accuracy                          0.704      4096
   macro avg      0.724     0.729     0.714      4096
weighted avg      0.726     0.704     0.705      4096

